date,hour,gmv
2017-01-22,18,183075.0
2017-01-22,19,212824.0
2017-01-22,20,220484.0
2017-01-22,21,249525.0
2017-01-22,22,243465.0
2017-01-22,23,225156.0
2017-01-23,0,124766.0
2017-01-23,1,109503.0
2017-01-23,2,30500.0
2017-01-23,3,21118.0
2017-01-23,4,14459.0
2017-01-23,5,2307.0
2017-01-23,6,24295.0
2017-01-23,7,46742.0
2017-01-23,8,100289.0
2017-01-23,9,141316.0
2017-01-23,10,178275.0
2017-01-23,11,218878.0
2017-01-23,12,237380.0
2017-01-23,13,234456.0
2017-01-23,14,196965.0
2017-01-23,15,202596.0
2017-01-23,16,225701.0
2017-01-23,17,198784.0
2017-01-23,18,189062.0
2017-01-23,19,184273.0
2017-01-23,20,171029.0
2017-01-23,21,193396.0
2017-01-23,22,184788.0
2017-01-23,23,196245.0
2017-01-24,0,129085.0
2017-01-24,1,72256.0
2017-01-24,2,29197.0
2017-01-24,3,45207.0
2017-01-24,4,8540.0
2017-01-24,5,7156.0
2017-01-24,6,16255.0
2017-01-24,7,35401.0
2017-01-24,8,115095.0
2017-01-24,9,156408.0
2017-01-24,10,258688.0
2017-01-24,11,261232.0
2017-01-24,12,279508.0
2017-01-24,13,183785.0
2017-01-24,14,224678.0
2017-01-24,15,280627.0
2017-01-24,16,278540.0
2017-01-24,17,190495.0
2017-01-24,18,158220.0
2017-01-24,19,127314.0
2017-01-24,20,161256.0
2017-01-24,21,171377.0
2017-01-24,22,228101.0
2017-01-24,23,195233.0
2017-01-25,0,154003.0
2017-01-25,1,98918.0
2017-01-25,2,38047.0
2017-01-25,3,11545.0
2017-01-25,4,2617.0
2017-01-25,5,8211.0
2017-01-25,6,24177.0
2017-01-25,7,33663.0
2017-01-25,8,90669.0
2017-01-25,9,186554.0
2017-01-25,10,217028.0
2017-01-25,11,199705.0
2017-01-25,12,190662.0
2017-01-25,13,148765.0
2017-01-25,14,215877.0
2017-01-25,15,204757.0
2017-01-25,16,203714.0
2017-01-25,17,194542.0
2017-01-25,18,189197.0
2017-01-25,19,141857.0
2017-01-25,20,191211.0
2017-01-25,21,174792.0
2017-01-25,22,179741.0
2017-01-25,23,192390.0
2017-01-26,0,158157.0
2017-01-26,1,107095.0
2017-01-26,2,47090.0
2017-01-26,3,10818.0
2017-01-26,4,22503.0
2017-01-26,5,10152.0
2017-01-26,6,11770.0
2017-01-26,7,44625.0
2017-01-26,8,86186.0
2017-01-26,9,150836.0
2017-01-26,10,160094.0
2017-01-26,11,197192.0
2017-01-26,12,46447.0
2017-01-26,13,238071.0
2017-01-26,14,300027.0
2017-01-26,15,436525.0
2017-01-26,16,340903.0
2017-01-26,17,281738.0
2017-01-26,18,259849.0
2017-01-26,19,269555.0
2017-01-26,20,276282.0
2017-01-26,21,173922.0
2017-01-26,22,336595.0
2017-01-26,23,361384.0
2017-01-27,0,174972.0
2017-01-27,1,116145.0
2017-01-27,2,35481.0
2017-01-27,3,18356.0
2017-01-27,4,4462.0
2017-01-27,5,13769.0
2017-01-27,6,44920.0
2017-01-27,7,38915.0
2017-01-27,8,99795.0
2017-01-27,9,159756.0
2017-01-27,10,176882.0
2017-01-27,11,236811.0
2017-01-27,12,286434.0
2017-01-27,13,196104.0
2017-01-27,14,212902.0
2017-01-27,15,239431.0
2017-01-27,16,204174.0
2017-01-27,17,207185.0
2017-01-27,18,160228.0
2017-01-27,19,161854.0
2017-01-27,20,187317.0
2017-01-27,21,186071.0
2017-01-27,22,178263.0
2017-01-27,23,210201.0
2017-01-28,0,172758.0
2017-01-28,1,113556.0
2017-01-28,2,54623.0
2017-01-28,3,12716.0
2017-01-28,4,6792.0
2017-01-28,5,18926.0
2017-01-28,6,20680.0
2017-01-28,7,81224.0
2017-01-28,8,105584.0
2017-01-28,9,162747.0
2017-01-28,10,193111.0
2017-01-28,11,196695.0
2017-01-28,12,229034.0
2017-01-28,13,205342.0
2017-01-28,14,157142.0
2017-01-28,15,282997.0
2017-01-28,16,212349.0
2017-01-28,17,173005.0
2017-01-28,18,204087.0
2017-01-28,19,131082.0
2017-01-28,20,129560.0
2017-01-28,21,129033.0
2017-01-28,22,170390.0
2017-01-28,23,203789.0
2017-01-29,0,139281.0
2017-01-29,1,89011.0
2017-01-29,2,30517.0
2017-01-29,3,13418.0
2017-01-29,4,6472.0
2017-01-29,5,5052.0
2017-01-29,6,11102.0
2017-01-29,7,36510.0
